8;Alius, alia, aliud;;;";";"altro (fra molti) (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
9;Nullus, -a, -um ;;;";";"nessuno (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
10;Unus, -a, -um;;;";";"uno (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
11;Totus, -a, -um;;;";";"tutto (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
12;Alter, altera, alterum;;;";";"altro (fra due) (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
13;Ullus, -a, -um;;;";";"alcuno, qualche (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
14;Solus, -a, -um;;;";";"solo (aggettivo pronominale: gen. In ""-ius""/ dat. In ""-i"")";;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;in;;;";";in, su, per, durante, riguardo a, contro (preposizione con l'accusativo o l'ablativo);;sì;30;30
2;ad;;;";";a, verso (preposizione con l'accusativo);;sì;30;30
3;a, ab;;;";";da  (preposizione con l'ablativo);;sì;30;30
4;e, ex;;;";";da  (preposizione con l'ablativo);;sì;30;30
5;per;;;";";per, attraverso (preposizione con l'accusativo);;sì;30;30
6;cum;;;";";"con (preposizione con l'ablativo) // ricorda che può essere anche una congiunzione con il significato di ""quando"", ""mentre""";;sì;30;30
7;de;;;";";da (alto in basso), del, sul, a proposito di (preposizione con l'ablativo);;sì;30;30
8;inter;;;";";fra, in mezzo a (preposizione con l'accusativo);;sì;30;30
9;sine;;;";";senza  (preposizione con l'ablativo);;sì;30;30
10;pro;;;";";davanti, in difesa, al favore, al posto  (preposizione con l'ablativo);;sì;30;30
11;apud;;;";";presso, vicino a (preposizione con l'accusativo);;sì;30;30
12;sub;;;";";sotto (preposizione con l'ablativo e l'accusativo);;sì;30;30
13;post;;;";";dietro a, dopo (preposizione con l'accusativo);;sì;30;30
14;ante;;;";";davanti, prima (preposizione con l'accusativo);;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;adversus (prep.);;;";";verso, contro (preposizione con l'accusativo);;sì;30;30
2;ob;;;";";per, a causa di (preposizione con l'accusativo);;sì;30;30
3;propter;;;";";per, a causa di (preposizione con l'accusativo);;sì;30;30
4;contra (prep.);;;";";contro, di fronte a (preposizione con l'accusativo);;sì;30;30
5;super;;;";";sopra, oltre, riguardo a (preposizione con l'accusativo o l'ablativo);;sì;30;30
6;intra;;;";";dentro, tra, prima di (preposizione con l'accusativo);;sì;30;30
7;teneo;";";teneo, -es, tenui, tentum, -ere;||;tenere;;sì;30;30
8;peto;";";peto, -is, -i(v)i, -itum, -ere;||;chiedere (per ottenere);;sì;30;30
9;quaero;";";quaero, -is, quaesivi, quaesitum, -ere;||;chiedere (per sapere);;sì;30;30
10;mitto;";";mitto, -is, misi, missum, -ere;||;mandare;;sì;30;30
11;audio;";";audio, -is, -i(v)i, -itum, -ire;||;udire;;sì;30;30
12;vivo;";";vivo, -is, vixi, victum, -ere;||;vivere;;sì;30;30
13;relinquo;";";relinquo, -is, reliqui, relictum, -ere;||;lasciare;;sì;30;30
14;refero;";";refero, refers, rettuli, relatum, referre;||;riportare;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;an;;;";";o, se, o forse;;sì;30;30
2;neque;;;";";e non;;sì;30;30
3;quoque;;;";";anche;;sì;30;30
4;nisi;;;";";se non;;sì;30;30
5;at;;;";";ma;;sì;30;30
6;ergo (cong.);;;";";"dunque (più raramente più essere una preposizione con il genitivo sempre anteposto e con il significato di ""a causa di"")";;sì;30;30
7;itaque;;;";";pertanto;;sì;30;30
8;duco;";";duco, -is, duxi, ductum, -ere;||;condurre;;sì;30;30
9;reddo;";";reddo, -is, reddidi, redditum, -ere;||;rendere;;sì;30;30
10;voco;";";voco, -as, -avi, -atum , -are;||;chiamare;;sì;30;30
11;timeo;";";timeo, -es, timui, -ere;||;temere;;sì;30;30
12;moveo;";";moveo, -es, movi, motum, -ere;||;muovere;;sì;30;30
13;sto;";";sto, stas, steti, statum, stare;||;stare;;sì;30;30
14;gero;";";gero, -is, gessi, gestum, -ere;||;portare, fare (portare a termine);;sì;30;30
;;;;;;;;;
;;;;;;;;;
